Date Sampled,Address,1st Draw,2-3 Minute,5 Minute
4/18/2019,103XX S SAINT LOUIS AVE,< 1,2.6,< 1
7/17/2019,103XX S SAINT LOUIS AVE,2.8,7.7,2.3
2/24/2019,103XX S SAWYER AVE,1.9,< 1,< 1
3/31/2019,103XX S SAWYER AVE,3.5,1.7,1.4
7/29/2019,103XX S SAWYER AVE,5.6,13,4.7
12/5/2021,103XX S SEELEY AVE ,4.1,3.8,2.7
3/10/2019,103XX S SPAULDING AVE,6.8,3.2,2.7
5/16/2019,103XX S SPAULDING AVE,2.4,3.9,1.4
10/27/2019,103XX S SPRINGFIELD AVE,< 1,1.9,< 1
7/7/2016,103XX S ST LOUIS AVE,2.2,17,7
8/26/2016,103XX S ST LOUIS AVE,See Follow-Up Sequential Sampling Table for Results,,
2/10/2019,103XX S ST LOUIS AVE,2.1,5.6,< 1
7/10/2016,103XX S TALMAN AVE,2.8,6.8,2.2
5/10/2017,103XX S TALMAN AVE,2.5,1.4,1.2
9/2/2020,103XX S TALMAN AVE,2,2,1.8
7/18/2016,103XX S TROY ST,2.2,6.2,3
10/18/2019,103XX S TROY ST,6.6,5,3.6
10/28/2019,103XX S TROY ST,4.4,8.2,6.9
9/17/2019,103XX S TRUMBULL AVE,2,6.9,1.7
6/12/2016,103XX S VERNON AVE,3.7,4.9,9.7
6/12/2016,103XX S VERNON AVE,3.7,4.9,9.7
7/25/2016,103XX S VERNON AVE,See Follow-Up Sequential Sampling Table for Results,,
5/28/2019,103XX S WALLACE ST,1.7,4.8,1.6
10/3/2016,103XX S WHIPPLE ST,5.7,4.2,3.9
3/9/2019,103XX S WHIPPLE ST,1.8,2.4,< 1
4/16/2019,103XX S WHIPPLE ST,2.7,9.2,2
8/11/2019,103XX S WHIPPLE ST,2.7,6.5,2.1
8/13/2018,103XX S WOOD ST,1.9,1.7,1.4
3/2/2019,104XX S ALBANY ,150,1.2,<1
6/2/2019,104XX S ALBANY ,5.1,24,4.3
6/18/2019,104XX S ALBANY ,See Follow-Up Sequential Sampling Table for Results,,
